No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
1379,SHIP DIALOG,Westmeath,"Lissywollen, Athlone",55,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,
1380,SHIP DIALOG,Westmeath,"Lissywollen, Athlone",38,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,
1381,SHIP DIALOG,Westmeath,"Lissywollen, Athlone",22,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,
1382,SHIP CONSTRUCTION TURNKEY,Westmeath,"Austin Friars Street, Mullingar",4,*N/A,,,,,Q3-2020,
1383,SHIP CONSTRUCTION TURNKEY,Westmeath,"Oakcrest, Ballinderry, Mullingar",8,*N/A,,,,,Q2-2021,
1384,SHIP CONSTRUCTION TURNKEY,Westmeath,"St. Marys Place, Athlone",9,*N/A,,,,,Q2-2021,
1385,SHIP CONSTRUCTION TURNKEY,Westmeath,"Rathgarve Green, Castlepollard",1,*N/A,,,,,,Q2-2021
1386,SHIP CONSTRUCTION TURNKEY,Westmeath,"Bellaugh, Athlone",17,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
1387,SHIP CONSTRUCTION TURNKEY,Westmeath,"The Cedars, Lakepoint, Mullingar",7,*N/A,,,,,,Q2-2022
1388,SHIP CONSTRUCTION TURNKEY,Westmeath,"The Cedars, Lakepoint, Mullingar",10,*N/A,,,,,Q2-2021,
1389,SHIP CONSTRUCTION TURNKEY,Westmeath,"The Cedars, Lakepoint, Mullingar",11,*N/A,,,,,Q2-2021,
1390,SHIP CONSTRUCTION TURNKEY,Westmeath,"Austin Friar Street, Mullingar",2,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
1391,SHIP CONSTRUCTION TURNKEY,Westmeath,"Athboy Rd, Delvin",6,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
1392,SHIP CONSTRUCTION TURNKEY,Westmeath,"Kileenboylegan, Moate",6,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
1393,SHIP CONSTRUCTION TURNKEY,Westmeath,"Mount Carmel Drive, Moate, Westmeath",9,N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
1394,SHIP CONSTRUCTION TURNKEY,Westmeath,"Austin Friar Street, Mullingar",4,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
1395,SHIP CONSTRUCTION DESIGN BUILD,Westmeath,"O'Growney Green, Mullingar",22,*N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,
1396,SHIP CONSTRUCTION DESIGN BUILD,Westmeath,"Dalton Park, Mullingar",17,*N/A,,,,,Q1-2022,
1397,SHIP CONSTRUCTION DESIGN BUILD,Westmeath,"Water Street, Castlepollard",8,*N/A,,,,,Q1-2022,
1398,SHIP CONSTRUCTION DESIGN BUILD,Westmeath,"Ennell Court, Mullingar (Phase 1)",15,*N/A,,,,,Q1-2022,
1399,SHIP CONSTRUCTION,Westmeath,"Bun Daire, Kinnegad (Phase 3)",8,*N/A,,,,,,Q2-2021
1400,SHIP CONSTRUCTION,Westmeath,"Ennell Court, Mullingar",31,*N/A,,,,,Q2-2021,
1401,SHIP CONSTRUCTION,Westmeath,"Quinlan Park, Athlone",10,*N/A,,,,,Q4-2021,
1402,SHIP CONSTRUCTION,Westmeath,"Bishopsgate, Mullingar",2,*N/A,,,,,,Q2-2021
1403,SHIP CONSTRUCTION,Westmeath,"Arcadia, Athlone (Phase 2)",24,*N/A,,"Stage 2 approved Q3-2020, full design/tender being prepared.",,,,
1404,SHIP CONSTRUCTION,Westmeath,"Canal Avenue, Mullingar",32,*N/A,,"Stage 2 approved Q4-2020, full design/tender being prepared.",,,,
1405,SHIP CONSTRUCTION,Westmeath,"Bun Daire, Kinnegad (Phase 3)",4,*N/A,,,,,,Q3-2021
1406,SHIP CONSTRUCTION,Westmeath,"Bishopsgate, Mullingar",2,*N/A,,,,,,Q4-2021
1407,SHIP CONSTRUCTION,Westmeath,"Kilmacaugh Rd, Athlone",1,N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,
1408,SHIP CONSTRUCTION,Westmeath,"Cornamaddy, Athlone",50,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
1409,SHIP CONSTRUCTION,Westmeath,"Water Street, Castlepollard ",1,*N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,
1410,SHIP CONSTRUCTION,Westmeath,"Belvedere Orphanage, Tyrellspass",6,*N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
1411,SHIP CONSTRUCTION,Westmeath,"Cornamaddy, Athlone",58,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
1412,CAS CONSTRUCTION TURNKEY,Westmeath,"Elm Row, Royal Canal, Mullingar",10,Túath Housing Association Ltd,,,,,,Q1-2021
1413,CAS CONSTRUCTION TURNKEY,Westmeath,"Elm Row, Royal Canal, Mullingar",17,Túath Housing Association Ltd,,,,,Q4-2019,
1414,CAS CONSTRUCTION TURNKEY,Westmeath,"Elm Row, Royal Canal, Mullingar",9,Túath Housing Association Ltd,,,,,Q4-2019,
1415,CAS CONSTRUCTION RENEWAL,Westmeath,"The Hermitage Building, Retreat Road, Athlone",55,Túath Housing Association Ltd,"Stage 1 approved Q2-2022, outline design and costs being prepared.",,,,,
1416,CAS CONSTRUCTION,Westmeath,"Farran, Mullingar",4,Túath Housing Association Ltd,,,,,,Q3-2021
1417,CALF Turnkey,Westmeath,"Ashe Road, Mullingar, Co. Westmeath (Phase 1)*",18,Clúid Housing,,,,,Q2-2021,
1418,CALF Turnkey,Westmeath,"Athlone Road, Moate, Co. Westmeath (Phase 1)*",14,Oaklee Housing,,,,,,Q2-2021
1419,CALF Turnkey,Westmeath,"Bower Hill, Lower Road, Athlone, Co. Westmeath (Phase 1)*",15,Clúid Housing,,,,Q3-2021,,
1420,CALF Turnkey,Westmeath,"Charlestown, Mullingar (Phase 1)*",37,Respond,,,,,Q4-2021,
1421,CALF Turnkey,Westmeath,"Charlestown, Mullingar (Phase 2)*",62,Respond,,,,,Q4-2021,
1422,CALF Turnkey,Westmeath,"Coill Rua, Mullingar, Co. Westmeath (Phase 2)*",23,Clúid Housing,,,,,,Q1-2021
1423,CALF Turnkey,Westmeath,"Coill Rua, Mullingar, Co. Westmeath (Phase 3)",8,Clúid Housing,,,,,,Q2-2021
1424,CALF Turnkey,Westmeath,"Dun na Ri, Coosan, Athlone, Westmeath, Co. Westmeath  (Phase 1)*",35,Respond,,,,,Q4-2021,
1425,CALF Turnkey,Westmeath,"Dun na Ri, Coosan, Athlone, Westmeath, Co. Westmeath  (Phase 2)*",27,Respond,,,,,Q4-2021,
1426,CALF Turnkey,Westmeath,"Dun na Ri, Coosan, Athlone, Westmeath, Co. Westmeath  (Phase 3)*",7,Respond,,,,,Q4-2021,
1427,CALF Turnkey,Westmeath,"Dun na Ri, Coosan, Athlone, Westmeath, Co. Westmeath  (Phase 4)*",49,Respond,,,,,Q4-2021,
1428,CALF Turnkey,Westmeath,"Dun na Ri, Coosan, Athlone, Westmeath, Co. Westmeath  (Phase 5)*",12,Respond,,,,,Q4-2021,
1429,CALF Construction,Westmeath,"Farran, Mullingar, Co. Westmeath (Phase 1)",10,Tuath Housing Association,,,,,,Q3-2021
1430,CALF Turnkey,Westmeath,"Garran Geal, Kinnegad, Westmeath (Phase 1)*",24,Tuath Housing Association,,,,,Q4-2020,
1431,CALF Turnkey,Westmeath,"Rahanine, Rochfortbridge, Co Westmeath (Phase 1)*",12,Tuath Housing Association,,,,,,Q2-2021
1432,CALF Turnkey,Westmeath,"Royal Canal, Ardmore Road, Mullingar, Co. Westmeath (Phase 1)",4,Tuath Housing Association,,,,,,Q1-2021
1433,CALF Turnkey,Westmeath,"Royal Canal, Ardmore Road, Mullingar, Co. Westmeath (Phase 2)",4,Tuath Housing Association,,,,,,Q2-2022
1434,CALF Turnkey,Westmeath,"Springfield Cottages, Mullingar, Co. Westmeath (Phase 1)*",13,Clúid Housing,,,,,Q4-2021,
1435,SHIP CONSTRUCTION TURNKEY,Wexford,"Airhill, Belvedere Rd, Wexford",7,*N/A,,,,,,Q3-2021
1436,SHIP CONSTRUCTION TURNKEY,Wexford,"Michael Street, New Ross ",3,*N/A,,,,,,Q2-2021
1437,SHIP CONSTRUCTION TURNKEY,Wexford,"Ballynaglough, Blackwater",4,*N/A,,,,,,Q2-2022
1438,SHIP CONSTRUCTION TURNKEY,Wexford,"Tobar Muire, Creagh Gorey",10,*N/A,,,,"Stage 4 approved Q2-2020, the scheme is fully approved.",,
1439,SHIP CONSTRUCTION TURNKEY,Wexford,"Gleann an Ghairdin, Gorey - Phase 2",4,*N/A,,,,,,Q4-2021
1440,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock Hill, Wexford",5,*N/A,,,,,,Q2-2021
1441,SHIP CONSTRUCTION TURNKEY,Wexford,"Cluain Beag, Clonard, Wexford",5,*N/A,,,,,,Q4-2021
1442,SHIP CONSTRUCTION TURNKEY,Wexford,"Cluain Beag, Clonard, Wexford",6,*N/A,,,,,,Q4-2021
1443,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock, Wexford",2,*N/A,,,,,,Q2-2021
1444,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard an Bhile, Healysland, New Ross, Co. Wexford",22,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
1445,SHIP CONSTRUCTION TURNKEY,Wexford,"Tobar Muire, Creagh Gorey",29,*N/A,,,,"Stage 4 approved Q2-2020, the scheme is fully approved.",,
1446,SHIP CONSTRUCTION TURNKEY,Wexford,"Ballynaglough, Blackwater",12,*N/A,,,,"Stage 4 approved Q1-2020, the scheme is fully approved.",,
1447,SHIP CONSTRUCTION TURNKEY,Wexford,"Roxborough Manor, Mulgannon",3,*N/A,,,,,,Q2-2022
1448,SHIP CONSTRUCTION TURNKEY,Wexford,"Roxborough Manor, Mulgannon",4,*N/A,,,,,,Q2-2022
1449,SHIP CONSTRUCTION TURNKEY,Wexford,"Roxborough Manor, Mulgannon",3,*N/A,,,,,,Q2-2022
1450,SHIP CONSTRUCTION TURNKEY,Wexford,"Roxborough Manor, Mulgannon",3,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
1451,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock, Wexford",2,*N/A,,,,,,Q2-2021
1452,SHIP CONSTRUCTION TURNKEY,Wexford,"Clonard Little, Wexford ",9,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
1453,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard an Bhile, Healysland, New Ross, Co. Wexford",21,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
1454,SHIP CONSTRUCTION TURNKEY,Wexford,"Cluain Beag, Clonard, Wexford",7,*N/A,,,,,,Q1-2022
1455,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock Hill, Wexford",4,*N/A,,,,,,Q2-2022
1456,SHIP CONSTRUCTION TURNKEY,Wexford,"Castlelands, Ferns, Co. Wexford",20,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
1457,SHIP CONSTRUCTION TURNKEY,Wexford,"Cluain Beag, Clonard, Wexford",2,*N/A,,,,,,Q2-2022
1458,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock Hill, Wexford",4,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
1459,SHIP CONSTRUCTION,Wexford,"Whiterock Hill Phase 1, Wexford",22,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
1460,SHIP CONSTRUCTION,Wexford,"Killeens, Wexford",40,*N/A,"Stage 1 approved Q1-2018, outline design and costs being prepared.",,,,,
1461,SHIP CONSTRUCTION,Wexford,"Ross Road, Enniscorthy",1,*N/A,,,,,,Q4-2021
1462,SHIP CONSTRUCTION,Wexford,"Glentire, The Ballagh, Enniscorthy",7,*N/A,,,,,Q2-2019,
1463,SHIP CONSTRUCTION,Wexford,"Rosetown Phase 1, Rosslare",23,*N/A,,,,,Q2-2021,
1464,SHIP CONSTRUCTION,Wexford,"Carley's Bridge, Enniscorthy",17,*N/A,,,,,,Q1-2022
1465,SHIP CONSTRUCTION,Wexford,"Creagh, Gorey",22,*N/A,"Stage 1 approved Q2-2018, outline design and costs being prepared.",,,,,
1466,SHIP CONSTRUCTION,Wexford,"Rosbercon, New Ross",38,*N/A,"Stage 1 approved Q2-2022, outline design and costs being prepared.",,,,,
1467,SHIP CONSTRUCTION,Wexford,"Wexford Street, Gorey",30,*N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,
1468,SHIP CONSTRUCTION,Wexford,"Ballyhine, Barntown, Co. Wexford",7,*N/A,,"Stage 2 approved Q1-2021, full design/tender being prepared.",,,,
1469,SHIP CONSTRUCTION,Wexford,"Whiterock Hill Phase 2, Wexford",22,*N/A,,,"Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.",,,
1470,SHIP CONSTRUCTION,Wexford,"Rosetown Phase 2, Rosslare",12,*N/A,,"Stage 2 approved Q2-2019, full design/tender being prepared.",,,,
1471,SHIP CONSTRUCTION,Wexford,"Doire Moling, Monamolin, Gorey, Co. Wexford",5,*N/A,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,
1472,SHIP CONSTRUCTION,Wexford,"20 Francis Street, Wexford",2,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
1473,SHIP CONSTRUCTION,Wexford,"Ballygillane Big, Rosslare Harbour, Co. Wexford",5,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
1474,SHIP CONSTRUCTION,Wexford,"Grogan’s Road, Wexford Town ",4,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
1475,CAS CONSTRUCTION TURNKEY,Wexford,"Clonattin, Gorey",6,Túath Housing Association Ltd,,,,,,Q2-2021
1476,CAS CONSTRUCTION TURNKEY,Wexford,"2&3 The Quay, New Ross, Co. Wexford",6,Peter McVerry Trust Ltd,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1477,CAS CONSTRUCTION RENEWAL,Wexford,"Ard na Naoimh, Gorey Hill",4,St. Aidan's Day Care Centre CLG,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
1478,CAS CONSTRUCTION,Wexford,"Wexford Women's Refuge, Maudlintown",13,Wexford Womens’ Refuge CLG,,,"Stage 3 approved Q2-2022, the scheme is now approved to proceed to tender.",,,
1479,CALF Turnkey,Wexford,"67 units, Coolcotts, Wexford (Barr An Aird, Coolcotts) (Phase 1)*",67,Clúid Housing,,,,,Q3-2020,
1480,CALF Turnkey,Wexford,"9 Units, Gleann an Ghairdin, Gorey, Co. Wexford (Phase 1)",9,Tuath Housing Association,,,,,,Q2-2021
1481,CALF Turnkey,Wexford,"Cuil na Dara, Coolcotts, Wexford  (Phase 1)*",25,Co - Operative Housing Ireland Society Limited,,,,,Q2-2022,
1482,CALF Turnkey,Wexford,"Forgelands, Enniscorthy Co. Wexford. (Phase 1)",10,Tuath Housing Association,,,,,Q3-2020,
1483,CALF Turnkey,Wexford,"Forgelands, Old Forge Road, Milehouse Road, Enniscorthy, Co. Wexford (Phase 1)*",18,Tuath Housing Association,,,,,,Q3-2021
1484,CALF Turnkey,Wexford,"Gleann an Ghairdin, Gorey, Co Wexford (Phase 1)",24,Tuath Housing Association,,,,,Q3-2021,
1485,CALF Construction,Wexford,"Hewitsland, New Ross, County Wexford (Phase 1)",48,Clúid Housing,,,,Q2-2022,,
1486,CALF Turnkey,Wexford,"Kerlogue Manor, Roxborough, Drinagh, Wexford (Phase 3)",16,Tuath Housing Association,,,,,,Q1-2021
1487,CALF Turnkey,Wexford,"Kerlogue Manor, Roxborough, Drinagh, Wexford (Phase 4)*",27,Tuath Housing Association,,,,,,Q2-2021
1488,CALF Turnkey,Wexford,"Mill Heights, Castlebridge, Wexford (Phase 1)",12,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2021
1489,CALF Turnkey,Wexford,"Mill Heights, Castlebridge, Wexford (Phase 2)*",13,Co - Operative Housing Ireland Society Limited,,,,,,Q1-2022
1490,CALF Turnkey,Wexford,"Moongate, Townspark, Co Wexford (Phase 1)*",17,Co - Operative Housing Ireland Society Limited,,,,,Q2-2022,
1491,CALF Turnkey,Wexford,"Moongate, Townspark, Co Wexford (Phase 2)*",21,Co - Operative Housing Ireland Society Limited,,,,,Q2-2022,
1492,CALF Turnkey,Wexford,"Old Forge Road, Milehouse Road, Enniscorthy, Co. Wexford (Phase 3)*",8,Tuath Housing Association,,,,,,Q1-2021
1493,CALF Turnkey,Wexford,"Old Forge Road, Milehouse Road, Enniscorthy, Co. Wexford (Phase 4)*",8,Tuath Housing Association,,,,,,Q2-2021
1494,CALF Turnkey,Wexford,"Pairc na Dara, Coolcotts, Wexford, Co. Wexford (Phase 1)*",15,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2021
1495,CALF Turnkey,Wexford,"Pairc na Dara, Coolcotts, Wexford, Co. Wexford (Phase 2)",19,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2021
1496,CALF Turnkey,Wexford,"Páirc na gCon, Greenville Lane, Enniscorthy, Co. Wexford (Phase 1)*",16,Clúid Housing,,,,,,Q3-2021
1497,CALF Turnkey,Wexford,"Páirc na gCon, Greenville Lane, Enniscorthy, Co. Wexford (Phase 2)*",14,Clúid Housing,,,,,,Q3-2021
1498,CALF Turnkey,Wexford,"Páirc na gCon, Greenville Lane, Enniscorthy, Co. Wexford (Phase 3)",22,Clúid Housing,,,,,,Q4-2021
1499,CALF Turnkey,Wexford,"Ramstown, Gorey, Wexford (Phase 1)",24,Tuath Housing Association,,,,,Q2-2021,
1500,CALF Turnkey,Wexford,"Ramstown, Gorey, Wexford (Phase 2)",20,Tuath Housing Association,,,,,Q2-2021,
1501,CALF Turnkey,Wexford,"Ramstown, Gorey, Wexford (Phase 3)*",24,Tuath Housing Association,,,,,Q2-2021,
1502,CALF Turnkey,Wexford,"Tobar Mhuire, Creagh, Gorey, Wexford (Phase 1)*",17,Clúid Housing,,,,,Q4-2021,
1503,SHIP CONSTRUCTION DESIGN BUILD,Wicklow,"Ashtown Lane, Wicklow Town",40,*N/A,,,,,,Q2-2022
1504,SHIP CONSTRUCTION DESIGN BUILD,Wicklow,"Mountainview, Moneycarroll, Newtownmountkennedy",22,*N/A,,,,,,Q2-2022
1505,SHIP CONSTRUCTION TURNKEY,Wicklow,"Weaver Square, Baltinglass, Co. Wicklow",2,*N/A,,,,"Stage 4 approved Q1-2020, the scheme is fully approved.",,
1506,SHIP CONSTRUCTION TURNKEY,Wicklow,"The Birches, Ballinaclash",2,*N/A,,,,,,Q2-2021
1507,SHIP CONSTRUCTION TURNKEY,Wicklow,"Bramble Hill, Lugduff, Tinahely",2,*N/A,,,,,,Q1-2021
1508,SHIP CONSTRUCTION TURNKEY,Wicklow,"Vartry Heights, Roundwood, Co. Wicklow",3,*N/A,,,,"Stage 4 approved Q1-2021, the scheme is fully approved.",,
1509,SHIP CONSTRUCTION TURNKEY,Wicklow,"Avonmore View, Rathdrum",13,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
1510,SHIP CONSTRUCTION TURNKEY,Wicklow,"Bramble Hill, Lugduff, Tinahely",1,*N/A,,,,,,Q2-2021
1511,SHIP CONSTRUCTION TURNKEY,Wicklow,"95 Waverley Drive, Broomhall, Rathnew",1,*N/A,,,,,,Q1-2022
1512,SHIP CONSTRUCTION TURNKEY,Wicklow,"Waverley Drive, Broomhall, Rathnew",3,*N/A,,,,,,Q2-2022
1513,SHIP CONSTRUCTION TURNKEY,Wicklow,"Waverley Drive, Broomhall, Rathnew",3,N/A,,,,,,Q1-2022
1514,SHIP CONSTRUCTION TURNKEY,Wicklow,"Waverley Drive, Broomhall, Rathnew",1,*N/A,,,,,,Q2-2022
1515,SHIP CONSTRUCTION TURNKEY,Wicklow,"Waverley Drive, Broomhall, Rathnew",2,*N/A,,,,,,Q2-2022
1516,SHIP CONSTRUCTION SINGLE STAGE,Wicklow,"Church Lane, Newcastle",1,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
1517,SHIP CONSTRUCTION SINGLE STAGE,Wicklow,"Ballynerrin Upper, Wicklow Town",10,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1518,SHIP CONSTRUCTION DESIGN BUILD,Wicklow,"Merrymeeting View, Rathnew",46,*N/A,,,,,,Q2-2021
1519,SHIP CONSTRUCTION DESIGN BUILD,Wicklow,Shillelagh Phase 4,20,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1520,SHIP CONSTRUCTION DESIGN BUILD,Wicklow,"Ard na Greine, West Ward, Bray",31,*N/A,,,,,,Q1-2022
1521,SHIP CONSTRUCTION DESIGN BUILD,Wicklow,"Avondale Heights, Rathdrum",20,*N/A,,,,,Q3-2021,
1522,SHIP CONSTRUCTION DESIGN BUILD,Wicklow,"Sheehan Court, Back Street, Arklow",7,*N/A,,,,,Q2-2021,
1523,SHIP CONSTRUCTION DESIGN BUILD,Wicklow,"Three Trouts, Greystones",41,*N/A,,"Stage 2 approved Q1-2022, full design/tender being prepared.",,,,
1524,SHIP CONSTRUCTION DESIGN BUILD,Wicklow,"Greenhill Road, Wicklow Town",36,*N/A,,,,,Q2-2021,
1525,SHIP CONSTRUCTION DESIGN BUILD,Wicklow,"Cedar Court, Schools Road, Bray",14,*N/A,,,,,Q1-2022,
1526,SHIP CONSTRUCTION DESIGN BUILD,Wicklow,"Coolattin Oaks, Carnew (Phase 4)",8,*N/A,,,,,,Q1-2021
1527,SHIP CONSTRUCTION DESIGN BUILD,Wicklow,"Rathnew, Merrymeeting, Co. Wicklow (Phase 2)",21,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
1528,SHIP CONSTRUCTION DESIGN BUILD,Wicklow,"Tinahely, Lugduff, Co Wicklow",20,*N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,
1529,SHIP CONSTRUCTION DESIGN BUILD,Wicklow,"Carrigoona, Bray",15,*N/A,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
1530,SHIP CONSTRUCTION DESIGN BUILD,Wicklow,"Lott Lane, Kilcoole",80,*N/A,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
1531,SHIP CONSTRUCTION,Wicklow,"Delaney Park, Emoclew Road, Arklow (Phase 3)",10,*N/A,,,,,,Q1-2022
1532,SHIP CONSTRUCTION,Wicklow,"10A & 10 B Castle Villas, Greystones",2,*N/A,,,"Stage 3 approved Q1-2022, the scheme is now approved to proceed to tender.",,,
1533,SHIP CONSTRUCTION,Wicklow,"Delaney Park, Emoclew Road, Arklow (Phase 2)",37,*N/A,,,,,,Q4-2021
1534,SHIP CONSTRUCTION,Wicklow,"Blackhills, Glenealy, Co. Wicklow",2,*N/A,,,,,Q4-2021,
1535,SHIP CONSTRUCTION,Wicklow,"Age Friendly Apartments at Main St, Kilcoole, Greystones",4,*N/A,,"Stage 2 approved Q3-2021, full design/tender being prepared.",,,,
1536,SHIP CONSTRUCTION,Wicklow,"Mill Road, Killincarrig, Greystones",2,*N/A,,,"Stage 3 approved Q1-2022, the scheme is now approved to proceed to tender.",,,
1537,SHIP CONSTRUCTION,Wicklow,"Carraig Eden, Greysones (Phase 3)",14,*N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,
1538,SHIP CONSTRUCTION,Wicklow,"Kilbride Lane, Bray (Murphy's Lands)",19,*N/A,,,,,,Q2-2021
1539,SHIP CONSTRUCTION,Wicklow,"Knockroe, Delgany, Co. Wicklow",2,*N/A,,"Stage 2 approved Q1-2022, full design/tender being prepared.",,,,
1540,SHIP CONSTRUCTION,Wicklow,"Ard Rua, Barndarraig, Arklow, Co. Wicklow",12,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,
1541,CAS CONSTRUCTION TURNKEY,Wicklow,"Rathcoran Square, Baltinglass",8,Peter McVerry Trust Ltd,,,,,,Q2-2021
1542,CAS CONSTRUCTION SINGLE STAGE,Wicklow,"Hollybrook Park, Bray, Co. Wicklow",4,St. John of God Housing Association Ltd,,,,"Stage 4 approved Q3-2019, the scheme is fully approved.",,
1543,CALF Turnkey,Wicklow,"Adelaide Apartments, St Laurence’s Terrace, Bray, Co. Wicklow (Phase 1)*",18,Respond,,,,,Q2-2021,
1544,CALF Turnkey,Wicklow,"Avondale Grange, Ballygannon, Rathdrum, Co. Wicklow (Phase 1)*",36,Respond,,,,,Q2-2021,
1545,CALF Turnkey,Wicklow,"Fairgreen Manor, Dunlavin, Co. Wicklow (Phase 1)*",40,Circle Voluntary Housing Association Ltd,,,,,,Q3-2021
1546,CALF Turnkey,Wicklow,"Heatherside, Vale Road, Arklow (Phase 1)",11,Tuath Housing Association,,,,,,Q2-2022
1547,CALF Turnkey,Wicklow,"Heatherside, Vale Road, Arklow (Phase 2)",12,Tuath Housing Association,,,,,Q2-2021,
1548,CALF Turnkey,Wicklow,"Heatherside, Vale Road, Arklow (Phase 3)",17,Tuath Housing Association,,,,,Q2-2021,
1549,CALF Turnkey,Wicklow,"Heatherside, Vale Road, Arklow (Phase 4)",18,Tuath Housing Association,,,,,Q2-2021,
1550,CALF Turnkey,Wicklow,"Heatherside, Vale Road, Arklow (Phase 5)*",30,Tuath Housing Association,,,,,Q2-2021,
1551,CALF Turnkey,Wicklow,"Heatherside, Vale Road, Arklow, Co. Wicklow (Phase 1)",15,Tuath Housing Association,,,,,,Q4-2021
1552,CALF Turnkey,Wicklow,"Heatherside, Vale Road, Arklow, Co. Wicklow (Phase 2)",10,Tuath Housing Association,,,,,,Q1-2022
1553,CALF Turnkey,Wicklow,"Heatherside, Vale Road, Arklow, Co. Wicklow (Phase 3)",3,Tuath Housing Association,,,,,Q4-2020,
1554,CALF Turnkey,Wicklow,"Lower Main Street, Arklow, Co. Wicklow (Phase 1)",4,Clanmil Housing Association Ireland,,,,,Q2-2021,
1555,CALF Turnkey,Wicklow,"Main Street, Blessington, Co. Wicklow (Phase 1)*",22,Circle Voluntary Housing Association Ltd,,,,Q2-2022,,
1556,CALF Turnkey,Wicklow,"Main Street, Blessington, Co. Wicklow (Phase 2)*",36,Circle Voluntary Housing Association Ltd,,,,Q2-2022,,
1557,CALF Turnkey,Wicklow,"Oak Springs, Rathdrum, County Wicklow  (Phase 1)*",5,Tuath Housing Association,,,,,Q3-2020,
1558,CALF Turnkey,Wicklow,"Phase 2, Southern Cross, Bray, Co. Wicklow (Phase 1)",80,Co - Operative Housing Ireland Society Limited,,,,,Q4-2020,
1559,CALF Turnkey,Wicklow,"Phase 3, Southern Cross, Bray, Co. Wicklow (Phase 1)*",80,Co - Operative Housing Ireland Society Limited,,,,,Q4-2020,
1560,CALF Turnkey,Wicklow,"Rathcoran House, Baltinglass, Co. Wicklow (Phase 2)*",24,Respond,,,,,,Q2-2021
1561,CALF Turnkey,Wicklow,"Rathcoran House, Baltinglass, Co. Wicklow (Phase 3)",16,Respond,,,,,,Q3-2021
1562,CALF Turnkey,Wicklow,"Southern Cross, Bray, Co. Wicklow
 (Phase 1)*",30,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2022
